epoch,train_loss,train_recon,train_kl,train_phys,val_loss,val_recon,val_kl,val_phys,phys_weight
1,0.22092795722624836,0.22071290454443762,0.02150522588806994,0.0,0.22206441164016724,0.221893110871315,0.01713007763028145,0.0,0.0
2,0.19161727147943833,0.19147001119220958,0.01472588486092932,0.0,0.2011750489473343,0.20105286240577697,0.012218843027949334,0.0,0.0
3,0.18082867913386402,0.18071383413146525,0.011484578964026534,0.0,0.1851685732603073,0.18506386876106262,0.010470684245228767,0.0,0.0
4,0.17830592569182901,0.17819685971035676,0.010906551252393162,0.0,0.18340522944927215,0.1832983523607254,0.010687918774783612,0.0,0.0
5,0.17725790335851557,0.17714099848971648,0.011690586476641543,0.0,0.17884187996387482,0.17872053682804107,0.012134458310902119,0.0,0.0
6,0.1717129638966392,0.17156942188739777,0.01435422628898831,0.0,0.1695209801197052,0.16934849917888642,0.01724802069365978,0.0,0.0
7,0.16734587269670823,0.16712156989995172,0.022430413347833297,0.0,0.1678826093673706,0.1675812780857086,0.03013319633901119,0.0,0.0
8,0.16313723956837373,0.16274376038242788,0.03934807790552869,0.0,0.15848621726036072,0.1579357773065567,0.0550437793135643,0.0,0.0
9,0.15429804693250096,0.15358975047574325,0.07082975743448033,0.0,0.14826888740062713,0.1472905084490776,0.09783800542354584,0.0,0.0
10,0.14131586911047206,0.14008229006739223,0.12335790343144361,0.0,0.13557844161987304,0.13385283797979355,0.1725606471300125,0.0,0.0
11,0.12602951202322454,0.12388221788055756,0.21472934589666479,0.0,0.12581217885017396,0.12289613634347915,0.2916043758392334,0.0,0.0
12,0.10523031651973724,0.10172940659172394,0.350091031369041,0.0,0.1015740841627121,0.09696020036935807,0.46138824224472047,0.0,0.0
13,0.09294874747009839,0.08753973026486005,0.5409017240299898,0.0,0.07211343050003052,0.06523285359144211,0.6880576729774475,0.0,0.0
14,0.07872354611754417,0.07101985373917748,0.7703692737747642,0.0,0.05909959226846695,0.04990160018205643,0.9197992205619812,0.0,0.0
15,0.06912744615007849,0.059478999060743,0.9648447247112498,0.0,0.05999726951122284,0.049277808889746665,1.0719460010528565,0.0,0.0
16,0.0665529609164771,0.055964560850578195,1.0588400714537676,0.0,0.05793967545032501,0.04673527777194977,1.1204396963119507,0.0,0.0
17,0.06530367298161283,0.05452696979045868,1.0776703357696533,0.0,0.05681311711668968,0.0454875860363245,1.1325530767440797,0.0,0.0
18,0.0646865494987544,0.053777399308541245,1.090914926108192,0.0,0.056766409426927567,0.045380379632115365,1.1386029720306396,0.0,0.0
19,0.06337902673027095,0.05251898002975127,1.0860046709285063,0.0,0.05473924353718758,0.043371842429041865,1.1367401361465455,0.0,0.0
20,0.06240346151239732,0.05161145132254152,1.0792010917383081,0.0,0.05472996309399605,0.04346791878342628,1.1262043714523315,0.0,0.0
21,0.06296306256862248,0.052127247457118595,1.083581500193652,0.0,0.05365085527300835,0.04233279339969158,1.131806230545044,0.0,0.0
22,0.06205725735601257,0.05119348996702362,1.0863767722073723,0.0,0.05466606318950653,0.04334402792155743,1.1322035789489746,0.0,0.0
23,0.06138975348542718,0.05060032503131558,1.0789428563678967,0.0,0.05404679328203201,0.042758026346564296,1.1288767337799073,0.0,0.0
