epoch,train_loss,train_recon,train_kl,train_phys,val_loss,val_recon,val_kl,val_phys,phys_weight
1,0.2587336205384311,0.25598271454081817,0.02598516391042401,9.964234352111816,0.22093819677829743,0.21814732849597931,0.033301065862178805,9.831432914733886,0.00025
2,0.22088832452016718,0.21569928965147803,0.03981960060841897,9.581678951487822,0.19793664515018464,0.19282253384590148,0.04738218635320664,9.280580711364745,0.0005
3,0.2045394611709258,0.19737062997677746,0.053290580782820195,8.847901063806871,0.18708048164844512,0.18017431795597078,0.058482640981674196,8.428449821472167,0.00075
4,0.19542360919363358,0.1868326427305446,0.06288451087825439,7.962120028103099,0.17192925214767457,0.1635776251554489,0.06550835072994232,7.6965433120727536,0.001
5,0.1924997901215273,0.18220749234451966,0.07195822631611544,7.658171597649069,0.17018412351608275,0.16032387614250182,0.07679195404052734,7.273861980438232,0.0012500000000000002
6,0.18780472436371973,0.17596865313894608,0.08759489786975524,7.306748249951531,0.15653283894062042,0.14572495967149734,0.09332610815763473,6.583078002929687,0.0015
7,0.17574794765780954,0.16283363103866577,0.11051710695028305,6.748082778033088,0.157017220556736,0.14425682723522187,0.12141796350479125,6.597835350036621,0.0017500000000000003
8,0.16927130257382111,0.15513935597503886,0.14507220510174246,6.340612411499023,0.14060450494289398,0.12701085209846497,0.16034965813159943,5.995079517364502,0.002
9,0.1526330201064839,0.13737578295609532,0.20458628237247467,5.871721828685088,0.12424055635929107,0.11002923548221588,0.2321142315864563,5.284524393081665,0.00225
10,0.13502191620714524,0.11962192461771123,0.2955058453714146,4.977973405052634,0.10427320003509521,0.08977403789758683,0.3367321491241455,4.452737617492676,0.0025000000000000005
11,0.10874206046847736,0.09383256141753758,0.43259908872492175,3.848548833061667,0.08004438802599907,0.06629481986165046,0.4829217195510864,3.243764114379883,0.0027500000000000003
12,0.08907501180382336,0.07469288303571589,0.5844425804474774,2.845901005408343,0.07147374227643014,0.05752361938357353,0.6249682903289795,2.5668134689331055,0.003
13,0.07540222761385582,0.06118824946529725,0.7363705144209021,2.1077762561685898,0.06640482172369958,0.05202661566436291,0.7667290687561035,2.064896893501282,0.0032500000000000003
14,0.07247557491064072,0.05814027610947104,0.8507086564512814,1.665203473147224,0.05926592238247395,0.0461776427924633,0.8401200413703919,1.339165413379669,0.0035000000000000005
15,0.0687749458148199,0.05413329513633952,0.908845957587747,1.4808512855978573,0.06065216399729252,0.04706357978284359,0.8872362017631531,1.2576595783233642,0.00375
16,0.06725714180399389,0.053400064873344755,0.9391973474446464,1.1162758399458492,0.06048317328095436,0.04707135334610939,0.9074184417724609,1.08440922498703,0.004
17,0.06916369782651172,0.055270296028431726,0.9526518793667064,1.0275018916410559,0.05931697376072407,0.045254075154662135,0.9194946885108948,1.1454007863998412,0.00425
18,0.06778240664040341,0.053557532784693385,0.9672753144713009,1.011582430671243,0.05825286097824574,0.04480052702128887,0.9270113945007324,0.9293818950653077,0.0045
19,0.06625343179878067,0.05196993250180693,0.9704498473335715,0.964000568670385,0.058291344344615935,0.044292220659554,0.9287498831748963,0.9919210195541381,0.004750000000000001
20,0.0667652461458655,0.05229488650665564,0.9654368828324711,0.9631981989916634,0.059339610114693644,0.04498122744262219,0.9260710954666138,1.01953444480896,0.005000000000000001
21,0.06603623378802748,0.0518577532733188,0.9649041154805351,0.8627502848120296,0.05896918550133705,0.044829525798559186,0.9247440099716187,0.9318511366844178,0.00525
22,0.06707882355241214,0.052471995572833455,0.9622929692268372,0.9061633173157188,0.058830509707331655,0.04450078159570694,0.9170442938804626,0.9380517363548279,0.0055000000000000005
23,0.06625472250230172,0.05194020391825367,0.955738365650177,0.8273278509869295,0.05777557529509068,0.04332126621156931,0.9143270611763,0.9236587405204773,0.005750000000000001
24,0.06650509444229744,0.051802143892821145,0.9498939759591046,0.867335203815909,0.057421188056468966,0.04240914862602949,0.915651285648346,0.9759210228919983,0.006
