epoch,train_loss,train_recon,train_kl,train_phys,val_loss,val_recon,val_kl,val_phys,phys_weight
1,0.5656601516973405,0.5651952744949431,0.04648714574674765,0.0,0.5259524908932772,0.5255398750305176,0.041261991993947464,0.0,0.0
2,0.5143183022737503,0.5138307951745533,0.048750982309381165,0.0,0.49363549189134076,0.49301461198113183,0.06208831004121087,0.0,0.0
3,0.48822268275987535,0.4873537988889785,0.08688825918805032,0.0,0.4745471640066667,0.4732928086410869,0.12543511187488382,0.0,0.0
4,0.4508959750334422,0.44888693732874735,0.20090389251708984,0.0,0.41709433089603076,0.4138879179954529,0.3206409134648063,0.0,0.0
5,0.38145381212234497,0.3764168307894752,0.5036982056640443,0.0,0.3457582809708335,0.3383129022338174,0.7445378628644076,0.0,0.0
6,0.323424186025347,0.3139970125187011,0.9427172428085691,0.0,0.29501836137338117,0.2831915427337993,1.1826820915395564,0.0,0.0
7,0.27759316599085215,0.2641090225605738,1.3484144125665938,0.0,0.26443291116844525,0.24874756146561017,1.5685349919579246,0.0,0.0
8,0.24110169531334014,0.22368877984228588,1.741291738691784,0.0,0.22395773367448288,0.2042959061535922,1.9661825895309448,0.0,0.0
9,0.1951282127272515,0.17402090309631257,2.1107309318724132,0.0,0.18517229502851312,0.16211792149327017,2.305437434803356,0.0,0.0
10,0.16930654574008214,0.1456670548234667,2.36394902354195,0.0,0.1667547117580067,0.14224094084718011,2.4513771533966064,0.0,0.0
11,0.15427636993782862,0.1296505784349782,2.462579301425389,0.0,0.15438181839206003,0.12956199727275156,2.4819821661168877,0.0,0.0
12,0.14597049976388612,0.12117702141404152,2.479347819373721,0.0,0.14483675767074933,0.11971796981313011,2.5118788589130747,0.0,0.0
13,0.13744304169501578,0.11245194804810342,2.4991094384874617,0.0,0.13528525016524576,0.11005189608443867,2.5233356302434746,0.0,0.0
14,0.12582470175056232,0.10081684216856956,2.500786020642235,0.0,0.11963834545829079,0.09442055699500171,2.521778865294023,0.0,0.0
15,0.10985623335554487,0.08463500990044504,2.5221223887943087,0.0,0.10041461952707985,0.07469102977351709,2.572359020059759,0.0,0.0
16,0.08854514644259498,0.06254927060079007,2.599587639172872,0.0,0.07636683501980522,0.049856416542421685,2.651041876186024,0.0,0.0
17,0.06902658274131161,0.04245074590047201,2.657583707854861,0.0,0.061772428791631355,0.03480504927310077,2.6967380046844482,0.0,0.0
18,0.05777713603207043,0.03095587311933438,2.682126317705427,0.0,0.05382813039151105,0.026846183971925217,2.6981947855515913,0.0,0.0
19,0.050878233852840606,0.024257493604506766,2.66207408337366,0.0,0.04810121316801418,0.02161059579388662,2.6490617231889204,0.0,0.0
20,0.04601704595344407,0.020008398153420006,2.600864824794588,0.0,0.04426050931215286,0.018450527790595184,2.5809982039711694,0.0,0.0
21,0.04284177924550715,0.017393389251083136,2.544839092663356,0.0,0.04179221459410407,0.016566810198128223,2.5225405476310034,0.0,0.0
22,0.040282094141557104,0.015381094866565295,2.490099992070879,0.0,0.040141510692509735,0.015385371632874012,2.4756139625202525,0.0,0.0
23,0.03857384755143097,0.014189058183027166,2.438479014805385,0.0,0.038271747190843926,0.014087246476926586,2.4184501604600386,0.0,0.0
24,0.03776295536330768,0.013737825743321861,2.402513004484631,0.0,0.037714258852330124,0.013860254040495916,2.385400555350564,0.0,0.0
25,0.03672813499967257,0.0129841606443127,2.374397487867446,0.0,0.03685376827012409,0.013191939500922506,2.36618295582858,0.0,0.0
26,0.0354462702359472,0.011981723430965627,2.3464547395706177,0.0,0.03556757928295569,0.012124395421282812,2.344318454915827,0.0,0.0
27,0.03501302704569839,0.01183325695317416,2.3179770821616765,0.0,0.034769809381528335,0.011738394302400675,2.303141572258689,0.0,0.0
28,0.03456356722329344,0.011570985384640239,2.2992582548232305,0.0,0.034831507300788704,0.011900029145181179,2.2931478673761543,0.0,0.0
29,0.03407105235826401,0.011244938132308778,2.282611512002491,0.0,0.03350827724418857,0.010686975565146316,2.2821302630684595,0.0,0.0
30,0.03331966436512414,0.010643819125280493,2.2675845679782687,0.0,0.03360171683809974,0.01095763382247903,2.2644083499908447,0.0,0.0
31,0.03302570760604881,0.010496615276982387,2.2529092686516896,0.0,0.032738112421198326,0.010261582125994291,2.2476530725305732,0.0,0.0
32,0.03239925272230591,0.009975593204477004,2.2423660301026844,0.0,0.03233148089864037,0.009974289600822058,2.2357192039489746,0.0,0.0
33,0.03224908737909226,0.009993659066302436,2.2255428291502453,0.0,0.0321964853527871,0.010012684220617468,2.21838023445823,0.0,0.0
34,0.032127520734710355,0.009936732195672534,2.2190789041065035,0.0,0.03263128514994274,0.010420047762719068,2.2211237820712,0.0,0.0
35,0.03138420016815265,0.009263938924829875,2.2120261816751388,0.0,0.03170878778804432,0.009727951477874409,2.198083660819314,0.0,0.0
36,0.03124911737229143,0.009269096522725053,2.198002122697376,0.0,0.031248184767636387,0.009289975447410887,2.195821003480391,0.0,0.0
37,0.031154313745598,0.009277849635552792,2.187646445773897,0.0,0.03147122551771728,0.0096175527962094,2.185367302461104,0.0,0.0
38,0.03095884088959013,0.009092436404898763,2.186640489669073,0.0,0.031316129829395904,0.00953220749612559,2.1783922802318227,0.0,0.0
39,0.030714931276937325,0.008957270555020798,2.1757660933903287,0.0,0.03062750178981911,0.00889756911518899,2.172993313182484,0.0,0.0
40,0.03051107137330941,0.008751287036353634,2.175978490284511,0.0,0.03062379580329765,0.008906724947420034,2.171707131645896,0.0,0.0
41,0.03040142512569825,0.00874941686301359,2.1652008635657176,0.0,0.030561515045436947,0.00895895499905402,2.1602560606869785,0.0,0.0
42,0.03023111775872253,0.008654625598518621,2.1576492616108487,0.0,0.030041156844659286,0.008524010973897848,2.151714650067416,0.0,0.0
43,0.03002868623783191,0.008494919487496927,2.1533767325537547,0.0,0.030117971822619438,0.008635371034456924,2.148260138251565,0.0,0.0
